
Numero tabelle: 550271

Numero medio righe: 18.203808668819544

Numero medio colonne: 4.377555786149006

Numero medio valori nulli per tabella: 1.4538291132914509E-5

Distribuzione numero di righe:
1 tabelle hanno 491 righe
3 tabelle hanno 492 righe
1 tabelle hanno 495 righe
2 tabelle hanno 497 righe
3 tabelle hanno 498 righe
3 tabelle hanno 499 righe
1 tabelle hanno 500 righe
2 tabelle hanno 501 righe
1 tabelle hanno 502 righe
3 tabelle hanno 503 righe
4 tabelle hanno 504 righe
4 tabelle hanno 505 righe
3 tabelle hanno 506 righe
2 tabelle hanno 507 righe
1 tabelle hanno 508 righe
1 tabelle hanno 509 righe
1 tabelle hanno 510 righe
1 tabelle hanno 1534 righe
2 tabelle hanno 511 righe
1 tabelle hanno 512 righe
1 tabelle hanno 1536 righe
2 tabelle hanno 513 righe
2 tabelle hanno 514 righe
2 tabelle hanno 517 righe
1 tabelle hanno 1543 righe
1 tabelle hanno 520 righe
2 tabelle hanno 521 righe
1 tabelle hanno 522 righe
4 tabelle hanno 523 righe
3 tabelle hanno 524 righe
1 tabelle hanno 525 righe
3 tabelle hanno 526 righe
1 tabelle hanno 527 righe
2 tabelle hanno 528 righe
1 tabelle hanno 529 righe
1 tabelle hanno 531 righe
2 tabelle hanno 533 righe
1 tabelle hanno 536 righe
4 tabelle hanno 537 righe
1 tabelle hanno 539 righe
3 tabelle hanno 540 righe
1 tabelle hanno 542 righe
1 tabelle hanno 543 righe
2 tabelle hanno 544 righe
2 tabelle hanno 545 righe
2 tabelle hanno 547 righe
2 tabelle hanno 548 righe
1 tabelle hanno 549 righe
1 tabelle hanno 550 righe
2 tabelle hanno 551 righe
1 tabelle hanno 553 righe
1 tabelle hanno 554 righe
1 tabelle hanno 556 righe
3 tabelle hanno 558 righe
1 tabelle hanno 559 righe
2 tabelle hanno 561 righe
2 tabelle hanno 563 righe
2 tabelle hanno 564 righe
1 tabelle hanno 565 righe
2 tabelle hanno 566 righe
1 tabelle hanno 2615 righe
1 tabelle hanno 568 righe
1 tabelle hanno 569 righe
5 tabelle hanno 572 righe
1 tabelle hanno 1599 righe
2 tabelle hanno 575 righe
1 tabelle hanno 4671 righe
1 tabelle hanno 576 righe
1 tabelle hanno 577 righe
3 tabelle hanno 578 righe
1 tabelle hanno 579 righe
1 tabelle hanno 580 righe
2 tabelle hanno 581 righe
2 tabelle hanno 584 righe
1 tabelle hanno 585 righe
2 tabelle hanno 1610 righe
1 tabelle hanno 586 righe
1 tabelle hanno 587 righe
1 tabelle hanno 588 righe
1 tabelle hanno 589 righe
4 tabelle hanno 590 righe
1 tabelle hanno 595 righe
1 tabelle hanno 596 righe
1 tabelle hanno 598 righe
1 tabelle hanno 599 righe
1 tabelle hanno 603 righe
1 tabelle hanno 604 righe
1 tabelle hanno 605 righe
1 tabelle hanno 609 righe
1 tabelle hanno 610 righe
1 tabelle hanno 612 righe
2 tabelle hanno 615 righe
1 tabelle hanno 617 righe
2 tabelle hanno 620 righe
1 tabelle hanno 1648 righe
1 tabelle hanno 625 righe
1 tabelle hanno 627 righe
2 tabelle hanno 628 righe
1 tabelle hanno 629 righe
1 tabelle hanno 630 righe
1 tabelle hanno 631 righe
1 tabelle hanno 633 righe
1 tabelle hanno 634 righe
1 tabelle hanno 635 righe
1 tabelle hanno 636 righe
1 tabelle hanno 637 righe
1 tabelle hanno 639 righe
2 tabelle hanno 641 righe
1 tabelle hanno 643 righe
1 tabelle hanno 646 righe
1 tabelle hanno 649 righe
1 tabelle hanno 650 righe
2 tabelle hanno 655 righe
2 tabelle hanno 656 righe
2 tabelle hanno 659 righe
1 tabelle hanno 662 righe
1 tabelle hanno 669 righe
2 tabelle hanno 670 righe
1 tabelle hanno 671 righe
4 tabelle hanno 672 righe
1 tabelle hanno 673 righe
1 tabelle hanno 1701 righe
1 tabelle hanno 1707 righe
1 tabelle hanno 686 righe
1 tabelle hanno 1711 righe
2 tabelle hanno 688 righe
1 tabelle hanno 689 righe
2 tabelle hanno 690 righe
1 tabelle hanno 691 righe
1 tabelle hanno 1716 righe
1 tabelle hanno 693 righe
1 tabelle hanno 694 righe
1 tabelle hanno 697 righe
1 tabelle hanno 700 righe
1 tabelle hanno 702 righe
1 tabelle hanno 703 righe
1 tabelle hanno 704 righe
1 tabelle hanno 705 righe
2 tabelle hanno 709 righe
1 tabelle hanno 711 righe
1 tabelle hanno 715 righe
1 tabelle hanno 716 righe
1 tabelle hanno 718 righe
1 tabelle hanno 720 righe
1 tabelle hanno 721 righe
1 tabelle hanno 722 righe
1 tabelle hanno 723 righe
1 tabelle hanno 724 righe
1 tabelle hanno 726 righe
2 tabelle hanno 727 righe
1 tabelle hanno 730 righe
1 tabelle hanno 732 righe
1 tabelle hanno 733 righe
1 tabelle hanno 742 righe
1 tabelle hanno 743 righe
1 tabelle hanno 745 righe
1 tabelle hanno 1770 righe
1 tabelle hanno 748 righe
1 tabelle hanno 749 righe
1 tabelle hanno 752 righe
1 tabelle hanno 755 righe
1 tabelle hanno 767 righe
1 tabelle hanno 769 righe
1 tabelle hanno 770 righe
2 tabelle hanno 771 righe
1 tabelle hanno 773 righe
2 tabelle hanno 774 righe
1 tabelle hanno 781 righe
1 tabelle hanno 1805 righe
1 tabelle hanno 782 righe
1 tabelle hanno 783 righe
2 tabelle hanno 787 righe
1 tabelle hanno 793 righe
1 tabelle hanno 794 righe
2 tabelle hanno 797 righe
1 tabelle hanno 798 righe
1 tabelle hanno 802 righe
1 tabelle hanno 806 righe
1 tabelle hanno 809 righe
1 tabelle hanno 814 righe
1 tabelle hanno 818 righe
1 tabelle hanno 820 righe
1 tabelle hanno 821 righe
1 tabelle hanno 830 righe
1 tabelle hanno 832 righe
1 tabelle hanno 835 righe
1 tabelle hanno 2891 righe
1 tabelle hanno 847 righe
1 tabelle hanno 849 righe
1 tabelle hanno 1876 righe
1 tabelle hanno 854 righe
1 tabelle hanno 855 righe
1 tabelle hanno 2904 righe
1 tabelle hanno 863 righe
1 tabelle hanno 876 righe
1 tabelle hanno 877 righe
1 tabelle hanno 888 righe
1 tabelle hanno 891 righe
1 tabelle hanno 896 righe
1 tabelle hanno 917 righe
1 tabelle hanno 920 righe
1 tabelle hanno 921 righe
1 tabelle hanno 926 righe
1 tabelle hanno 931 righe
1 tabelle hanno 945 righe
1 tabelle hanno 950 righe
1 tabelle hanno 958 righe
1 tabelle hanno 979 righe
1 tabelle hanno 6102 righe
1 tabelle hanno 2009 righe
1 tabelle hanno 2013 righe
1 tabelle hanno 994 righe
1 tabelle hanno 998 righe
1 tabelle hanno 1001 righe
1 tabelle hanno 1008 righe
1 tabelle hanno 1009 righe
1 tabelle hanno 1016 righe
1 tabelle hanno 1022 righe

Distribuzione numero di colonne:
1 tabelle hanno 513 colonne
1243 tabelle hanno 2 colonne
247795 tabelle hanno 3 colonne
182998 tabelle hanno 4 colonne
53598 tabelle hanno 5 colonne
23197 tabelle hanno 6 colonne
15217 tabelle hanno 7 colonne
5200 tabelle hanno 8 colonne
2 tabelle hanno 520 colonne
5168 tabelle hanno 9 colonne
2299 tabelle hanno 10 colonne
2108 tabelle hanno 11 colonne
1560 tabelle hanno 12 colonne
1744 tabelle hanno 13 colonne
917 tabelle hanno 14 colonne
992 tabelle hanno 15 colonne
872 tabelle hanno 16 colonne
971 tabelle hanno 17 colonne
428 tabelle hanno 18 colonne
686 tabelle hanno 19 colonne
247 tabelle hanno 20 colonne
666 tabelle hanno 21 colonne
